lane_key,origin_id,origin_name,destination_id,destination_name,lane_status,last_checked,run_mode,sailing_id,etd,eta,vessel,transit,route,point_to_point_url
2IW9P6J7XAW72__0FW19NDUZ2NI7,2IW9P6J7XAW72,Shanghai,0FW19NDUZ2NI7,Savannah,active,2026-03-18,full,H7F:611E,2026-03-24 03:00,2026-04-23 20:00,CCNI ANGOL,31d 5h,P3E | 711 TP11 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Savannah Garden City Terminal L738 (Savannah),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=0FW19NDUZ2NI7&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__0FW19NDUZ2NI7,2IW9P6J7XAW72,Shanghai,0FW19NDUZ2NI7,Savannah,active,2026-03-18,full,621:612E,2026-03-31 03:00,2026-04-30 19:00,MAERSK LUZ,31d 4h,P3E | 711 TP11 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Savannah Garden City Terminal L738 (Savannah),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=0FW19NDUZ2NI7&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__0FW19NDUZ2NI7,2IW9P6J7XAW72,Shanghai,0FW19NDUZ2NI7,Savannah,active,2026-03-18,full,C8L:613E,2026-04-07 03:00,2026-05-07 19:00,MAERSK SINGAPORE,31d 4h,P3E | 711 TP11 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Savannah Garden City Terminal L738 (Savannah),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=0FW19NDUZ2NI7&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__0FW19NDUZ2NI7,2IW9P6J7XAW72,Shanghai,0FW19NDUZ2NI7,Savannah,active,2026-03-18,full,D6R:614E,2026-04-14 03:00,2026-05-14 19:00,MAERSK SHAMS,31d 4h,P3E | 711 TP11 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Savannah Garden City Terminal L738 (Savannah),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=0FW19NDUZ2NI7&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__183AKT65YAHRZ,2IW9P6J7XAW72,Shanghai,183AKT65YAHRZ,Houston,active,2026-03-18,full,CR3:613E,2026-03-25 06:00,2026-05-06 07:00,GSL Sofia,42d 14h,P3E | 715 TP15 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Bay Port Container Terminal (Houston),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=183AKT65YAHRZ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__183AKT65YAHRZ,2IW9P6J7XAW72,Shanghai,183AKT65YAHRZ,Houston,active,2026-03-18,full,686:614E,2026-04-01 06:00,2026-05-13 07:00,MAERSK LAVRAS,42d 14h,P3E | 715 TP15 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Bay Port Container Terminal (Houston),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=183AKT65YAHRZ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__183AKT65YAHRZ,2IW9P6J7XAW72,Shanghai,183AKT65YAHRZ,Houston,active,2026-03-18,full,26I:615E,2026-04-09 00:00,2026-05-20 07:00,MAERSK SAIGON,41d 20h,P3E | 715 TP15 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Bay Port Container Terminal (Houston),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=183AKT65YAHRZ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__2LMUYHDQXMRNJ,104T898SJZ6GU,Ningbo,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,IG5:611E,2026-03-16 14:56,2026-03-31 18:00,DELAWARE EXPRESS,15d 18h 4m,P1E | 707 TP7 | Ningbo Meishan Terminal (Ningbo) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__2LMUYHDQXMRNJ,104T898SJZ6GU,Ningbo,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,P9U:612E,2026-03-24 00:00,2026-04-07 18:00,MISSOURI EXPRESS,15d 9h,P1E | 707 TP7 | Ningbo Meishan Terminal (Ningbo) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__2LMUYHDQXMRNJ,104T898SJZ6GU,Ningbo,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,IG7:613E,2026-03-30 14:00,2026-04-14 18:00,HUDSON EXPRESS,15d 19h,P1E | 707 TP7 | Ningbo Meishan Terminal (Ningbo) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__2LMUYHDQXMRNJ,104T898SJZ6GU,Ningbo,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,IG3:614E,2026-04-06 14:00,2026-04-21 18:00,POTOMAC EXPRESS,15d 19h,P1E | 707 TP7 | Ningbo Meishan Terminal (Ningbo) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__2LMUYHDQXMRNJ,104T898SJZ6GU,Ningbo,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,L60:615E,2026-04-13 14:00,2026-04-28 18:00,MAERSK KINLOSS,15d 19h,P1E | 707 TP7 | Ningbo Meishan Terminal (Ningbo) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__09BIUNPPZHC3Y,104T898SJZ6GU,Ningbo,09BIUNPPZHC3Y,Long Beach,inactive,2026-03-18,full,,,,,,,https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=09BIUNPPZHC3Y&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__02R2IYUF20M7Z,104T898SJZ6GU,Ningbo,02R2IYUF20M7Z,New York / New Jersey,active,2026-03-18,full,IF8:612E,2026-03-22 21:00,2026-04-29 19:00,KANDLA EXPRESS,38d 10h,P3E | 712 TP12 | Ningbo Meishan Terminal (Ningbo) -> Apm Terminal - Berth 88 E425 (Newark),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=02R2IYUF20M7Z&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__02R2IYUF20M7Z,104T898SJZ6GU,Ningbo,02R2IYUF20M7Z,New York / New Jersey,active,2026-03-18,full,Y00:613E,2026-03-29 21:00,2026-05-06 19:00,COLOMBO EXPRESS,38d 10h,P3E | 712 TP12 | Ningbo Meishan Terminal (Ningbo) -> Apm Terminal - Berth 88 E425 (Newark),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=02R2IYUF20M7Z&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
104T898SJZ6GU__02R2IYUF20M7Z,104T898SJZ6GU,Ningbo,02R2IYUF20M7Z,New York / New Jersey,active,2026-03-18,full,612:614E,2026-04-05 21:00,2026-05-13 19:00,GJERTRUD MAERSK,38d 10h,P3E | 712 TP12 | Ningbo Meishan Terminal (Ningbo) -> Apm Terminal - Berth 88 E425 (Newark),https://www.maersk.com/schedules/pointToPoint?from=104T898SJZ6GU&to=02R2IYUF20M7Z&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
